Month,County,Fatalities,Events
2016-03,Taita Taveta,0.0,0.0
2016-03,Tana River,0.0,0.0
2016-03,Tharaka-Nithi,1.0,1.0
2016-03,Trans Nzoia,0.0,0.0
2016-03,Turkana,0.0,0.0
2016-03,Uasin Gishu,0.0,0.0
2016-03,Vihiga,0.0,0.0
2016-03,Wajir,0.0,0.0
2016-03,West Pokot,0.0,0.0
2016-04,Baringo,0.0,0.0
2016-04,Bomet,0.0,0.0
2016-04,Bungoma,0.0,0.0
2016-04,Busia,0.0,0.0
2016-04,Elgeyo Marakwet,0.0,0.0
2016-04,Embu,0.0,2.0
2016-04,Garissa,0.0,0.0
2016-04,Homa Bay,0.0,0.0
2016-04,Isiolo,0.0,0.0
2016-04,Kajiado,0.0,0.0
2016-04,Kakamega,0.0,1.0
2016-04,Kericho,0.0,0.0
2016-04,Kiambu,0.0,0.0
2016-04,Kilifi,0.0,0.0
2016-04,Kirinyaga,0.0,1.0
2016-04,Kisii,0.0,0.0
2016-04,Kisumu,0.0,1.0
2016-04,Kitui,0.0,0.0
2016-04,Kwale,0.0,0.0
2016-04,Laikipia,0.0,0.0
2016-04,Lamu,0.0,0.0
2016-04,Machakos,0.0,0.0
2016-04,Makueni,0.0,1.0
2016-04,Mandera,0.0,0.0
2016-04,Marsabit,0.0,0.0
2016-04,Meru,0.0,0.0
2016-04,Migori,0.0,0.0
2016-04,Mombasa,0.0,0.0
2016-04,Muranga,0.0,0.0
2016-04,Nairobi,2.0,5.0
2016-04,Nakuru,0.0,0.0
